latitude,longitude,elevation_meters
34.5599467,-117.4421505,895
38.8315147,-77.2098313,89
,,
33.7495519,-84.3973214,323
,,
,,
,,
,,
43.0203104,-78.2024802,279
,,
42.3651998,-71.0631178,8
,,
42.8912883,-78.8768694,187
,,
,,
34.5599467,-117.4421505,895
38.8315147,-77.2098313,89
,,
33.7495519,-84.3973214,323
,,
,,
,,
,,
43.0203104,-78.2024802,279
,,
42.3651998,-71.0631178,8
,,
42.8912883,-78.8768694,187
,,
,,
,,
42.4826346,-71.2088722,45
31.8035481,-106.2885969,1224
31.8035481,-106.2885969,1224
31.7985835,-106.3296452,1214
,,
,,
32.8176772,-111.51927,464
38.855899,-77.3372812,142
,,
,,
,,
44.894544,-93.196983,246
44.894544,-93.196983,246
39.6182237,-104.8973875,1731
,,
26.178023,-97.7141244,15
26.178023,-97.7141244,15
,,
21.2997796,-157.863838,2
21.3034379,-157.8622788,8
,,
42.4826346,-71.2088722,45
29.938091,-95.407008,28
,,
,,
38.9678446,-76.952992,38
,,
32.8263945,-115.5787933,-13
39.7745729,-86.1554176,214
,,
32.8666338,-96.9436262,137
31.7088575,-92.1529335,69
,,
39.1677284,-94.5987458,253
,,
36.164428,-115.143673,614
41.8451881,-88.0007047,224
,,
,,
34.0538618,-118.2398013,91
34.0537473,-118.2396971,91
34.0537473,-118.2396971,91
26.1563622,-97.337839,6
,,
,,
25.7914523,-80.3784688,5
,,
25.7547717,-80.4908502,3
25.7914523,-80.3784688,5
25.7914523,-80.3784688,5
36.225714,-86.7897697,157
29.9515122,-90.0662021,14
,,
29.9504324,-90.0769488,13
,,
,,
,,
40.7516485,-74.0067152,28
,,
,,
40.7301239,-74.1742223,10
40.700661,-74.1963198,14
41.515749,-74.1109983,164
30.8321814,-92.6369891,40
,,
28.5499655,-81.3795344,31
28.8946514,-99.1219428,186
,,
39.9533663,-75.1532037,12
,,
39.9483253,-75.1443129,17
33.4707941,-112.0730845,336
33.4707941,-112.0730845,336
,,
26.1091223,-80.2548143,4
26.2759099,-80.15197,5
,,
38.9504058,-77.3673775,127
37.7994623,-122.4600686,32
,,
29.5170764,-98.4364427,238
,,
29.5211873,-98.4897092,253
29.503696,-98.5085833,245
,,
32.7143692,-117.1647966,3
32.7143692,-117.1647966,3
,,
37.796256,-122.4014395,14
,,
37.796256,-122.4014395,14
,,
33.7101198,-117.8551067,19
33.6190848,-111.9201407,444
47.6723271,-122.3821463,33
,,
,,
47.6056743,-122.3351143,26
39.0306976,-77.4101154,95
,,
,,
27.9609172,-82.513195,8
32.1353209,-110.9260223,794
34.1833902,-118.4486138,218
,,
40.7069412,-111.9466934,1292
44.4497796,-73.1167023,104
39.9338493,-76.680734,184
